Run,study_accession
SRR35301484,PRJNA1321709
SRR35301481,PRJNA1321709
SRR35301482,PRJNA1321709
SRR35301483,PRJNA1321709
SRR32787425,PRJNA1238785
SRR32787424,PRJNA1238785
SRR32787423,PRJNA1238785
SRR32787422,PRJNA1238785
SRR28790269,PRJNA1104180
SRR28790268,PRJNA1104180
SRR28790267,PRJNA1104180
SRR28790266,PRJNA1104180
SRR28790265,PRJNA1104180
SRR28790264,PRJNA1104180
SRR28790263,PRJNA1104180
SRR28790262,PRJNA1104180
SRR28790261,PRJNA1104180
SRR28790260,PRJNA1104180
SRR28790259,PRJNA1104180
SRR28790258,PRJNA1104180
SRR28790257,PRJNA1104180
SRR28790256,PRJNA1104180
SRR28790255,PRJNA1104180
SRR28790254,PRJNA1104180
SRR28790253,PRJNA1104180
SRR28790252,PRJNA1104180
SRR28790251,PRJNA1104180
SRR28790250,PRJNA1104180
SRR25764046,PRJNA1009809
SRR25764045,PRJNA1009809
SRR25764132,PRJNA1009808
SRR25764131,PRJNA1009808
SRR25764130,PRJNA1009808
SRR25764129,PRJNA1009808
SRR25764128,PRJNA1009808
SRR25764127,PRJNA1009808
SRR25764126,PRJNA1009808
SRR25764125,PRJNA1009808
SRR25764124,PRJNA1009808
SRR25764123,PRJNA1009808
SRR25764122,PRJNA1009808
SRR25764121,PRJNA1009808
SRR30160459,PRJNA1009808
SRR30160458,PRJNA1009808
SRR30160457,PRJNA1009808
SRR30160456,PRJNA1009808
SRR30160455,PRJNA1009808
SRR30160454,PRJNA1009808
SRR25764094,PRJNA1009807
SRR25764093,PRJNA1009807
SRR25764092,PRJNA1009807
SRR25764091,PRJNA1009807
SRR25071784,PRJNA989134
SRR25071783,PRJNA989134
SRR25071782,PRJNA989134
SRR25071781,PRJNA989134
SRR22969817,PRJNA918384
SRR22969816,PRJNA918384
SRR22969815,PRJNA918384
SRR22969814,PRJNA918384
SRR22969813,PRJNA918384
SRR22969812,PRJNA918384
SRR22969811,PRJNA918384
SRR22969810,PRJNA918384
SRR22969809,PRJNA918384
SRR22969808,PRJNA918384
SRR22969807,PRJNA918384
SRR22969806,PRJNA918384
SRR21218378,PRJNA872137
SRR21218377,PRJNA872137
SRR21218374,PRJNA872137
SRR21218373,PRJNA872137
SRR21218375,PRJNA872137
SRR21218372,PRJNA872137
SRR21218376,PRJNA872137
SRR21218371,PRJNA872137
SRR21140659,PRJNA871254
SRR21140658,PRJNA871254
SRR21140657,PRJNA871254
SRR21140656,PRJNA871254
SRR21140655,PRJNA871254
SRR21140654,PRJNA871254
SRR14362885,PRJNA726251
SRR14362886,PRJNA726251
SRR13998262,PRJNA715464
SRR13998264,PRJNA715464
SRR13998265,PRJNA715464
SRR13998266,PRJNA715464
SRR15348413,PRJNA715464
SRR15348415,PRJNA715464
SRR15424374,PRJNA715464
SRR15424375,PRJNA715464
SRR9604615,PRJNA551383
SRR13046869,PRJNA551383
SRR9604617,PRJNA551383
SRR13046868,PRJNA551383
SRR2982510,PRJNA305418
SRR2982511,PRJNA305418
SRR2982512,PRJNA305418
SRR2982514,PRJNA305418
SRR2982513,PRJNA305418
SRR2087761,PRJNA288987
SRR2087764,PRJNA288987
SRR2087767,PRJNA288987
SRR2087770,PRJNA288987
SRR2087773,PRJNA288987
SRR2087776,PRJNA288987
SRR2087779,PRJNA288987
SRR2087782,PRJNA288987
SRR2047225,PRJNA285515
SRR836192,PRJNA200706
SRR836193,PRJNA200706
SRR836194,PRJNA200706
SRR836195,PRJNA200706
SRR836196,PRJNA200706
SRR836197,PRJNA200706
SRR836198,PRJNA200706
SRR836199,PRJNA200706
SRR392966,PRJNA150397
SRR392968,PRJNA150397
SRR392970,PRJNA150397
SRR392972,PRJNA150397
SRR392974,PRJNA150397
SRR392976,PRJNA150397
SRR392978,PRJNA150397
SRR392980,PRJNA150397
SRR392982,PRJNA150397
SRR392984,PRJNA150397
SRR392986,PRJNA150397
SRR392988,PRJNA150397
SRR392990,PRJNA150397
SRR392992,PRJNA150397
SRR392994,PRJNA150397
SRR392996,PRJNA150397
SRR392998,PRJNA150397
SRR393000,PRJNA150397
SRR393002,PRJNA150397
SRR393004,PRJNA150397
SRR393006,PRJNA150397
SRR393008,PRJNA150397
